@W: CL240 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\work\m2s010_som_sb\FABOSC_0\m2s010_som_sb_FABOSC_0_OSC.vhd":16:10:16:19|Signal XTLOSC_O2F is floating; a simulation mismatch is possible.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":484:8:484:27|Signal soft_sdif1_phy_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":485:8:485:28|Signal soft_sdif1_core_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":486:8:486:27|Signal soft_sdif2_phy_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":487:8:487:28|Signal soft_sdif2_core_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":488:8:488:27|Signal soft_sdif3_phy_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":489:8:489:28|Signal soft_sdif3_core_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":490:8:490:30|Signal soft_sdif0_0_core_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":491:8:491:30|Signal soft_sdif0_1_core_reset in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1495:8:1495:9|Pruning unused register count_sdif3_1(12 downto 0). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1471:8:1471:9|Pruning unused register count_sdif2_1(12 downto 0). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1447:8:1447:9|Pruning unused register count_sdif1_1(12 downto 0). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1423:8:1423:9|Pruning unused register count_sdif0_2(12 downto 0). Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif3_enable_rcosc_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif2_enable_rcosc_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif1_enable_rcosc_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif0_enable_rcosc_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif3_enable_q1_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif2_enable_q1_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif1_enable_q1_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1395:8:1395:9|Pruning unused register count_sdif0_enable_q1_2. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1311:8:1311:9|Pruning unused register count_sdif3_enable_3. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1252:8:1252:9|Pruning unused register count_sdif2_enable_3. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1193:8:1193:9|Pruning unused register count_sdif1_enable_3. Make sure that there are no unused intermediate registers.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1134:8:1134:9|Pruning unused register count_sdif0_enable_3. Make sure that there are no unused intermediate registers.
@W: CL177 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":1331:8:1331:9|Sharing sequential element M3_RESET_N_int. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":936:8:936:9|Sharing sequential element sdif2_spll_lock_q1. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":936:8:936:9|Sharing sequential element sdif1_spll_lock_q1. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":936:8:936:9|Sharing sequential element sdif0_spll_lock_q1. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL177 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreResetP\7.0.104\rtl\vhdl\core\coreresetp.vhd":936:8:936:9|Sharing sequential element fpll_lock_q1. Add a syn_preserve attribute to the element to prevent sharing.
@W: CD434 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreAPB3\4.1.100\rtl\vhdl\core\coreapb3.vhd":1453:41:1453:46|Signal infill in the sensitivity list is not used in the process. Make sure all variables in the sensitivity list are referenced in the process.
@W: CD638 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\component\Actel\DirectCore\CoreAPB3\4.1.100\rtl\vhdl\core\coreapb3.vhd":616:7:616:15|Signal ia_prdata is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\CommsFPGA_top.vhd":175:9:175:18|Signal idata_fail is undriven. Either assign the signal a value or remove the signal declaration.
@W: CG296 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":139:17:139:23|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":143:42:143:57|Referenced variable tx_col_detect_en is not in sensitivity list.
@W: CG296 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":241:27:241:33|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":247:35:247:44|Referenced variable sm_advance is not in sensitivity list.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\CRC16_Generator.vhd":79:6:79:7|Feedback mux created for signal lfsr_q[15:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":188:4:188:5|Feedback mux created for signal bit_cntr[2:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":188:4:188:5|Feedback mux created for signal iRX_FIFO_wr_en. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL117 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":141:4:141:5|Latch generated from process for signal hold_collision; possible missing assignment in an if or case statement.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":243:4:243:5|Feedback mux created for signal rx_fifo_din_d3[7:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":243:4:243:5|Feedback mux created for signal rx_fifo_din_d2[7:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":243:4:243:5|Feedback mux created for signal rx_fifo_din_d1[7:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":167:4:167:5|Feedback mux created for signal SM_advancebit_cntr[2:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":167:4:167:5|Feedback mux created for signal SM_advance_i. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":223:4:223:5|Feedback mux created for signal rx_crc_data_store[15:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL190 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":259:6:259:7|Optimizing register bit rx_packet_length(11) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ReadFIFO_Write_SM.vhd":259:6:259:7|Pruning register bit 11 of rx_packet_length(11 downto 0). If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\AFE_RX_SM.vhd":90:4:90:5|Pruning unused register RX_FIFO_Empty_s_4. Make sure that there are no unused intermediate registers.
@W: CG296 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":205:2:205:8|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":209:36:209:47|Referenced variable clock_adjust is not in sensitivity list.
@W: CG296 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":219:25:219:31|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":223:38:223:49|Referenced variable clock_adjust is not in sensitivity list.
@W: CG296 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":231:26:231:32|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":235:38:235:49|Referenced variable clock_adjust is not in sensitivity list.
@W: CD638 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":75:9:75:22|Signal idle_line_cntr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL169 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":98:4:98:5|Pruning unused register manches_Transition_d_3(3 downto 0). Make sure that there are no unused intermediate registers.
@W: CL265 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":98:4:98:5|Removing unused bit 3 of decoder_Transition_d_4(3 downto 0). Either assign all bits or reduce the width of the signal.
@W: CL271 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":98:4:98:5|Pruning unused bits 7 to 1 of decoder_ShiftReg_3(7 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":98:4:98:5|Pruning unused bits 7 to 1 of manches_ShiftReg_4(7 downto 0). If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":260:4:260:5|Feedback mux created for signal s2p_data[7:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":233:4:233:5|Feedback mux created for signal irx_center_sample. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":221:4:221:5|Feedback mux created for signal isampler_clk1x_en. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesDecoder_Adapter.vhd":207:4:207:5|Feedback mux created for signal clkdiv[3:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CD638 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\ManchesEncoder.vhd":77:7:77:14|Signal man_data is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":95:9:95:25|Signal tx_idle_line_cntr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal txen_early_cntr[11:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_packet_length[11:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_byte_cntr[11:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal PreAmble_cntr[3:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal PostAmble_cntr[2:0]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_preamble_pat_en. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_packet_complt. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_crc_gen. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_crc_byte2_en. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal tx_crc_byte1_en. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal iTX_PostAmble. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal iTX_FIFO_rd_en. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal TX_STATE[0:8]. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal TX_PreAmble. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal TX_Enable. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Feedback mux created for signal TX_DataEn. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":119:4:119:5|Feedback mux created for signal tx_idle_line_s. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":119:4:119:5|Feedback mux created for signal start_tx_FIFO_s. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
@W: CL190 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Optimizing register bit tx_packet_length(11) to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL260 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_SM.vhd":147:6:147:7|Pruning register bit 11 of tx_packet_length(11 downto 0). If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CG296 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_Collision_Detector.vhd":177:26:177:32|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_Collision_Detector.vhd":184:16:184:29|Referenced variable rx_crc_byte_en is not in sensitivity list.
@W: CL113 :"C:\Users\gcallsen\Documents\Projects\FPGA\PPI.IRail.SoC.FPGA\hdl\TX_Collision_Detector.vhd":180:4:180:5|Feedback mux created for signal TX_collision_detect. To avoid the feedback mux, assign values explicitly under all conditions of conditional assignment statements.
